Population=1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 198 ms, execution time: 195 ms, waiting time: 3 ms, processed by Server 2)
Population=100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 316 ms, execution time: 294 ms, waiting time: 22 ms, processed by Server 1)
Population=374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 183 ms, execution time: 181 ms, waiting time: 2 ms, processed by Server 2)
Population=184225 getPopulationofCountry Guam Zone:1 (turnaround time: 332 ms, execution time: 330 ms, waiting time: 2 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 275 ms, execution time: 272 ms, waiting time: 3 ms, processed by Server 3)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 129 ms, execution time: 127 ms, waiting time: 2 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 367 ms, execution time: 366 ms, waiting time: 1 ms, processed by Server 3)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 644 ms, execution time: 643 ms, waiting time: 1 ms, processed by Server 3)
Population=63717971 getPopulationofCountry Turkey Zone:5 (turnaround time: 280 ms, execution time: 278 ms, waiting time: 2 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 860 ms, execution time: 859 ms, waiting time: 1 ms, processed by Server 3)
Population=3645095 getPopulationofCountry Uganda Zone:3 (turnaround time: 500 ms, execution time: 498 ms, waiting time: 2 ms, processed by Server 3)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 275 ms, execution time: 274 ms, waiting time: 1 ms, processed by Server 1)
Population=3989252 getPopulationofCountry Nepal Zone:2 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 2)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 507 ms, execution time: 506 ms, waiting time: 1 ms, processed by Server 1)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 460 ms, execution time: 459 ms, waiting time: 1 ms, processed by Server 1)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 265 ms, execution time: 264 ms, waiting time: 1 ms, processed by Server 3)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 134 ms, execution time: 131 ms, waiting time: 3 ms, processed by Server 2)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 701 ms, execution time: 700 ms, waiting time: 1 ms, processed by Server 1)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 201 ms, execution time: 200 ms, waiting time: 1 ms, processed by Server 2)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 937 ms, execution time: 936 ms, waiting time: 1 ms, processed by Server 1)
Population=7348242 getPopulationofCountry Bolivia Zone:1 (turnaround time: 309 ms, execution time: 308 ms, waiting time: 1 ms, processed by Server 1)
Population=61881622 getPopulationofCountry Philippines Zone:1 (turnaround time: 402 ms, execution time: 401 ms, waiting time: 1 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 243 ms, execution time: 241 ms, waiting time: 2 ms, processed by Server 3)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 727 ms, execution time: 726 ms, waiting time: 1 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 277 ms, execution time: 276 ms, waiting time: 1 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 598 ms, execution time: 597 ms, waiting time: 1 ms, processed by Server 3)
Population=3328228 getPopulationofCountry Honduras Zone:3 (turnaround time: 287 ms, execution time: 285 ms, waiting time: 2 ms, processed by Server 3)
Population=70068919 getPopulationofCountry United Kingdom Zone:3 (turnaround time: 394 ms, execution time: 393 ms, waiting time: 1 ms, processed by Server 3)
Population=9362428 getPopulationofCountry Sweden Zone:4 (turnaround time: 820 ms, execution time: 819 ms, waiting time: 1 ms, processed by Server 3)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 408 ms, execution time: 407 ms, waiting time: 1 ms, processed by Server 3)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=266998322 getPopulationofCountry United States Zone:5 (turnaround time: 290 ms, execution time: 279 ms, waiting time: 11 ms, processed by Server 1)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 698 ms, execution time: 696 ms, waiting time: 2 ms, processed by Server 3)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 129 ms, execution time: 128 ms, waiting time: 1 ms, processed by Server 2)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 360 ms, execution time: 359 ms, waiting time: 1 ms, processed by Server 1)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 952 ms, execution time: 951 ms, waiting time: 1 ms, processed by Server 3)
Population=64035243 getPopulationofCountry Indonesia Zone:2 (turnaround time: 118 ms, execution time: 117 ms, waiting time: 1 ms, processed by Server 2)
Population=3988332 getPopulationofCountry Paraguay Zone:3 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 3)
Population=6340891 getPopulationofCountry Guatemala Zone:5 (turnaround time: 465 ms, execution time: 464 ms, waiting time: 1 ms, processed by Server 1)
Population=3162856 getPopulationofCountry Norway Zone:5 (turnaround time: 353 ms, execution time: 352 ms, waiting time: 1 ms, processed by Server 1)
Population=1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 129 ms, execution time: 127 ms, waiting time: 2 ms, processed by Server 2)
Population=1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=184225 getPopulationofCountry Guam Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3162856 getPopulationofCountry Norway Zone:5 (turnaround time: 612 ms, execution time: 611 ms, waiting time: 1 ms, processed by Server 1)
Population=3907506 getPopulationofCountry Ireland Zone:3 (turnaround time: 130 ms, execution time: 129 ms, waiting time: 1 ms, processed by Server 3)
Population=2501302 getPopulationofCountry Panama Zone:1 (turnaround time: 794 ms, execution time: 793 ms, waiting time: 1 ms, processed by Server 1)
Population=3907506 getPopulationofCountry Ireland Zone:3 (turnaround time: 158 ms, execution time: 157 ms, waiting time: 1 ms, processed by Server 3)
Population=1182883 getPopulationofCountry Slovenia Zone:1 (turnaround time: 639 ms, execution time: 637 ms, waiting time: 2 ms, processed by Server 1)
Population=369776 getPopulationofCountry Guyana Zone:2 (turnaround time: 121 ms, execution time: 120 ms, waiting time: 1 ms, processed by Server 2)
Cities=0 getNumberofCities Tokelau 86282 Zone:2 (turnaround time: 149 ms, execution time: 148 ms, waiting time: 1 ms, processed by Server 2)
Cities=37 getNumberofCities Ireland 15357 Zone:3 (turnaround time: 139 ms, execution time: 138 ms, waiting time: 1 ms, processed by Server 3)
Cities=0 getNumberofCities Tokelau 86282 Zone:2 (turnaround time: 303 ms, execution time: 301 ms, waiting time: 2 ms, processed by Server 2)
Cities=72 getNumberofCities Kenya 10116 Zone:2 (turnaround time: 149 ms, execution time: 147 ms, waiting time: 2 ms, processed by Server 2)
Cities=498 getNumberofCities Japan 35776 Zone:5 (turnaround time: 281 ms, execution time: 280 ms, waiting time: 1 ms, processed by Server 1)
Cities=709 getNumberofCities United Kingdom 17590 Zone:2 (turnaround time: 163 ms, execution time: 161 ms, waiting time: 2 ms, processed by Server 2)
Cities=309 getNumberofCities Philippines 26860 Zone:3 (turnaround time: 161 ms, execution time: 160 ms, waiting time: 1 ms, processed by Server 3)
Cities=309 getNumberofCities Philippines 26860 Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Cities=309 getNumberofCities Philippines 26860 Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Cities=264 getNumberofCities Pakistan 21858 Zone:5 (turnaround time: 321 ms, execution time: 320 ms, waiting time: 1 ms, processed by Server 1)
Cities=309 getNumberofCities Philippines 26860 Zone:3 (turnaround time: 129 ms, execution time: 125 ms, waiting time: 4 ms, processed by Server 3)
Cities=35 getNumberofCities Cameroon 49172 Zone:3 (turnaround time: 188 ms, execution time: 185 ms, waiting time: 3 ms, processed by Server 3)
Cities=15 getNumberofCities Croatia 29650 Zone:3 (turnaround time: 211 ms, execution time: 209 ms, waiting time: 2 ms, processed by Server 3)
Cities=498 getNumberofCities Japan 35776 Zone:5 (turnaround time: 638 ms, execution time: 636 ms, waiting time: 2 ms, processed by Server 1)
Cities=3 getNumberofCities Chad 95635 Zone:2 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 2)
Cities=5 getNumberofCities Kuwait 81013 Zone:5 (turnaround time: 346 ms, execution time: 344 ms, waiting time: 2 ms, processed by Server 1)
Cities=4 getNumberofCities Norway 97512 Zone:5 (turnaround time: 692 ms, execution time: 690 ms, waiting time: 2 ms, processed by Server 1)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 499 ms, execution time: 498 ms, waiting time: 1 ms, processed by Server 1)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 809 ms, execution time: 807 ms, waiting time: 2 ms, processed by Server 1)
Cities=5 getNumberofCities Kuwait 81013 Zone:5 (turnaround time: 1236 ms, execution time: 1234 ms, waiting time: 2 ms, processed by Server 1)
Countries=128 getNumberofCountries 16 17136 71980  Zone:5 (turnaround time: 504 ms, execution time: 503 ms, waiting time: 1 ms, processed by Server 1)
Cities=4 getNumberofCities Guam 16010 Zone:1 (turnaround time: 759 ms, execution time: 758 ms, waiting time: 1 ms, processed by Server 1)
Countries=41 getNumberofCountries 32 68523 163219  Zone:4 (turnaround time: 263 ms, execution time: 261 ms, waiting time: 2 ms, processed by Server 3)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 1232 ms, execution time: 1231 ms, waiting time: 1 ms, processed by Server 1)
Countries=37 getNumberofCountries 40 59399 105732  Zone:4 (turnaround time: 398 ms, execution time: 396 ms, waiting time: 2 ms, processed by Server 3)
Countries=128 getNumberofCountries 16 17136 71980  Zone:5 (turnaround time: 742 ms, execution time: 741 ms, waiting time: 1 ms, processed by Server 1)
Countries=156 getNumberofCountries 4 26295 32725  Zone:1 (turnaround time: 158 ms, execution time: 156 ms, waiting time: 2 ms, processed by Server 1)
Countries=31 getNumberofCountries 35 94789 129232  Zone:2 (turnaround time: 122 ms, execution time: 121 ms, waiting time: 1 ms, processed by Server 2)
Countries=156 getNumberofCountries 4 26295 32725  Zone:1 (turnaround time: 397 ms, execution time: 396 ms, waiting time: 1 ms, processed by Server 1)
Countries=34 getNumberofCountries 38 67728 135271  Zone:1 (turnaround time: 514 ms, execution time: 513 ms, waiting time: 1 ms, processed by Server 1)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 244 ms, execution time: 243 ms, waiting time: 1 ms, processed by Server 3)
Countries=50 getNumberofCountries 18 82502 166121  Zone:1 (turnaround time: 119 ms, execution time: 118 ms, waiting time: 1 ms, processed by Server 1)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 390 ms, execution time: 389 ms, waiting time: 1 ms, processed by Server 3)
Countries=71 getNumberofCountries 26 36349 85074  Zone:5 (turnaround time: 279 ms, execution time: 278 ms, waiting time: 1 ms, processed by Server 1)
Countries=33 getNumberofCountries 26 108363 151844  Zone:2 (turnaround time: 129 ms, execution time: 128 ms, waiting time: 1 ms, processed by Server 2)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 621 ms, execution time: 620 ms, waiting time: 1 ms, processed by Server 3)
Countries=25 getNumberofCountries 41 99830 129236  Zone:5 (turnaround time: 292 ms, execution time: 291 ms, waiting time: 1 ms, processed by Server 1)
Countries=71 getNumberofCountries 26 36349 85074  Zone:5 (turnaround time: 760 ms, execution time: 759 ms, waiting time: 1 ms, processed by Server 1)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 497 ms, execution time: 496 ms, waiting time: 1 ms, processed by Server 1)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 837 ms, execution time: 836 ms, waiting time: 1 ms, processed by Server 1)
Countries=130 getNumberofCountries 9 29156 73705  Zone:4 (turnaround time: 250 ms, execution time: 249 ms, waiting time: 1 ms, processed by Server 3)
Countries=47 getNumberofCountries 20 88451 159264  Zone:1 (turnaround time: 896 ms, execution time: 895 ms, waiting time: 1 ms, processed by Server 1)
Countries=60 getNumberofCountries 46 24893 78637  Zone:3 (turnaround time: 130 ms, execution time: 129 ms, waiting time: 1 ms, processed by Server 3)
Countries=60 getNumberofCountries 46 24893 78637  Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Countries=40 getNumberofCountries 37 59132 141719  Zone:5 (turnaround time: 279 ms, execution time: 278 ms, waiting time: 1 ms, processed by Server 1)
Countries=22 getNumberofCountries 45 109430 135643  Zone:2 (turnaround time: 121 ms, execution time: 120 ms, waiting time: 1 ms, processed by Server 2)
Countries=72 getNumberofCountries 31 28545 48490  Zone:1 (turnaround time: 373 ms, execution time: 372 ms, waiting time: 1 ms, processed by Server 1)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 119 ms, execution time: 118 ms, waiting time: 1 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 128 ms, execution time: 127 ms, waiting time: 1 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 280 ms, execution time: 279 ms, waiting time: 1 ms, processed by Server 2)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 1057 ms, execution time: 1056 ms, waiting time: 1 ms, processed by Server 1)
Countries=108 getNumberofCountries 11 40468 87521  Zone:3 (turnaround time: 123 ms, execution time: 122 ms, waiting time: 1 ms, processed by Server 3)
Countries=42 getNumberofCountries 35 55848 73143  Zone:1 (turnaround time: 280 ms, execution time: 279 ms, waiting time: 1 ms, processed by Server 1)
Countries=108 getNumberofCountries 11 40468 87521  Zone:3 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 3)
getNumberofCountries avg turn-around time: 346 ms, avg execution time: 345 ms, avg waiting time: 1 ms, min turn-around time: 0 ms, max turn-around time: 1057 ms
getNumberofCities avg turn-around time: 387 ms, avg execution time: 386 ms, avg waiting time: 1 ms, min turn-around time: 0 ms, max turn-around time: 1236 ms
getPopulationofCountry avg turn-around time: 308 ms, avg execution time: 307 ms, avg waiting time: 1 ms, min turn-around time: 0 ms, max turn-around time: 952 ms
