Population=100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 350 ms, execution time: 332 ms, waiting time: 18 ms, processed by Server 5)
Population=184225 getPopulationofCountry Guam Zone:1 (turnaround time: 306 ms, execution time: 301 ms, waiting time: 5 ms, processed by Server 1)
Population=1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 367 ms, execution time: 354 ms, waiting time: 13 ms, processed by Server 2)
Population=374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 356 ms, execution time: 352 ms, waiting time: 4 ms, processed by Server 2)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 335 ms, execution time: 328 ms, waiting time: 7 ms, processed by Server 4)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 335 ms, execution time: 332 ms, waiting time: 3 ms, processed by Server 4)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 331 ms, execution time: 326 ms, waiting time: 5 ms, processed by Server 4)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 317 ms, execution time: 315 ms, waiting time: 2 ms, processed by Server 4)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 1)
Population=63717971 getPopulationofCountry Turkey Zone:5 (turnaround time: 144 ms, execution time: 141 ms, waiting time: 3 ms, processed by Server 5)
Population=3645095 getPopulationofCountry Uganda Zone:3 (turnaround time: 129 ms, execution time: 125 ms, waiting time: 4 ms, processed by Server 3)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 5)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 132 ms, execution time: 130 ms, waiting time: 2 ms, processed by Server 5)
Population=3989252 getPopulationofCountry Nepal Zone:2 (turnaround time: 113 ms, execution time: 112 ms, waiting time: 1 ms, processed by Server 2)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 118 ms, execution time: 114 ms, waiting time: 4 ms, processed by Server 5)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 113 ms, execution time: 111 ms, waiting time: 2 ms, processed by Server 5)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 115 ms, execution time: 113 ms, waiting time: 2 ms, processed by Server 5)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 130 ms, execution time: 128 ms, waiting time: 2 ms, processed by Server 4)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 124 ms, execution time: 122 ms, waiting time: 2 ms, processed by Server 2)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 113 ms, execution time: 111 ms, waiting time: 2 ms, processed by Server 2)
Population=4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 124 ms, execution time: 122 ms, waiting time: 2 ms, processed by Server 5)
Population=61881622 getPopulationofCountry Philippines Zone:1 (turnaround time: 115 ms, execution time: 114 ms, waiting time: 1 ms, processed by Server 1)
Population=7348242 getPopulationofCountry Bolivia Zone:1 (turnaround time: 114 ms, execution time: 111 ms, waiting time: 3 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 4)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 114 ms, execution time: 112 ms, waiting time: 2 ms, processed by Server 4)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 118 ms, execution time: 115 ms, waiting time: 3 ms, processed by Server 4)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 123 ms, execution time: 121 ms, waiting time: 2 ms, processed by Server 4)
Population=9362428 getPopulationofCountry Sweden Zone:4 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 4)
Population=70068919 getPopulationofCountry United Kingdom Zone:3 (turnaround time: 115 ms, execution time: 113 ms, waiting time: 2 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:3 (turnaround time: 115 ms, execution time: 113 ms, waiting time: 2 ms, processed by Server 3)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 116 ms, execution time: 113 ms, waiting time: 3 ms, processed by Server 5)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 114 ms, execution time: 111 ms, waiting time: 3 ms, processed by Server 5)
Population=3328228 getPopulationofCountry Honduras Zone:3 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 3)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 131 ms, execution time: 128 ms, waiting time: 3 ms, processed by Server 4)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 116 ms, execution time: 115 ms, waiting time: 1 ms, processed by Server 4)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 113 ms, execution time: 111 ms, waiting time: 2 ms, processed by Server 4)
Population=266998322 getPopulationofCountry United States Zone:5 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 5)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 116 ms, execution time: 113 ms, waiting time: 3 ms, processed by Server 4)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 117 ms, execution time: 114 ms, waiting time: 3 ms, processed by Server 4)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 115 ms, execution time: 112 ms, waiting time: 3 ms, processed by Server 1)
Population=316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 5)
