Population=48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 170 ms, execution time: 168 ms, waiting time: 2 ms, processed by Server 1)
Population=189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 266 ms, execution time: 255 ms, waiting time: 11 ms, processed by Server 3)
Population=31731367 getPopulationofCountry Canada Zone:1 (turnaround time: 170 ms, execution time: 169 ms, waiting time: 1 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 137 ms, execution time: 135 ms, waiting time: 2 ms, processed by Server 2)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 127 ms, execution time: 125 ms, waiting time: 2 ms, processed by Server 2)
Population=276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 1)
Population=276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 151 ms, execution time: 149 ms, waiting time: 2 ms, processed by Server 1)
Population=1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 247 ms, execution time: 244 ms, waiting time: 3 ms, processed by Server 3)
Population=276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 178 ms, execution time: 177 ms, waiting time: 1 ms, processed by Server 1)
Population=30376 getPopulationofCountry Palau Zone:4 (turnaround time: 277 ms, execution time: 275 ms, waiting time: 2 ms, processed by Server 3)
Population=7571439 getPopulationofCountry Kenya Zone:2 (turnaround time: 130 ms, execution time: 129 ms, waiting time: 1 ms, processed by Server 2)
Population=3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 400 ms, execution time: 399 ms, waiting time: 1 ms, processed by Server 3)
Population=3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 628 ms, execution time: 627 ms, waiting time: 1 ms, processed by Server 3)
Population=32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 376 ms, execution time: 375 ms, waiting time: 1 ms, processed by Server 3)
Population=32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 672 ms, execution time: 671 ms, waiting time: 1 ms, processed by Server 3)
Population=1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 127 ms, execution time: 126 ms, waiting time: 1 ms, processed by Server 1)
Population=6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=1680347 getPopulationofCountry Chad Zone:4 (turnaround time: 883 ms, execution time: 881 ms, waiting time: 2 ms, processed by Server 3)
Population=3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 129 ms, execution time: 127 ms, waiting time: 2 ms, processed by Server 2)
Population=3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=361020 getPopulationofCountry Comoros Zone:4 (turnaround time: 285 ms, execution time: 283 ms, waiting time: 2 ms, processed by Server 3)
Population=3988332 getPopulationofCountry Paraguay Zone:4 (turnaround time: 694 ms, execution time: 693 ms, waiting time: 1 ms, processed by Server 3)
Population=21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 273 ms, execution time: 272 ms, waiting time: 1 ms, processed by Server 1)
Population=32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 1109 ms, execution time: 1108 ms, waiting time: 1 ms, processed by Server 3)
Population=1907246 getPopulationofCountry Tajikistan Zone:3 (turnaround time: 223 ms, execution time: 222 ms, waiting time: 1 ms, processed by Server 3)
Population=21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 295 ms, execution time: 294 ms, waiting time: 1 ms, processed by Server 1)
Population=21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=134594036 getPopulationofCountry Brazil Zone:3 (turnaround time: 653 ms, execution time: 649 ms, waiting time: 4 ms, processed by Server 3)
Population=369776 getPopulationofCountry Guyana Zone:2 (turnaround time: 117 ms, execution time: 117 ms, waiting time: 0 ms, processed by Server 2)
Population=1565638 getPopulationofCountry Togo Zone:5 (turnaround time: 273 ms, execution time: 272 ms, waiting time: 1 ms, processed by Server 1)
Population=29145131 getPopulationofCountry Poland Zone:4 (turnaround time: 357 ms, execution time: 356 ms, waiting time: 1 ms, processed by Server 3)
Population=374575 getPopulationofCountry Guadeloupe Zone:3 (turnaround time: 242 ms, execution time: 241 ms, waiting time: 1 ms, processed by Server 3)
Population=374575 getPopulationofCountry Guadeloupe Zone:5 (turnaround time: 429 ms, execution time: 428 ms, waiting time: 1 ms, processed by Server 1)
Population=6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=1907246 getPopulationofCountry Tajikistan Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3989252 getPopulationofCountry Nepal Zone:4 (turnaround time: 288 ms, execution time: 287 ms, waiting time: 1 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:4 (turnaround time: 535 ms, execution time: 533 ms, waiting time: 2 ms, processed by Server 3)
Population=15411242 getPopulationofCountry Belgium Zone:5 (turnaround time: 299 ms, execution time: 298 ms, waiting time: 1 ms, processed by Server 1)
Population=21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=30376 getPopulationofCountry Palau Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=15411242 getPopulationofCountry Belgium Zone:4 (turnaround time: 1 ms, execution time: 0 ms, waiting time: 1 ms, processed by Server 3)
Population=48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3328228 getPopulationofCountry Honduras Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=100848918 getPopulationofCountry Japan Zone:3 (turnaround time: 491 ms, execution time: 490 ms, waiting time: 1 ms, processed by Server 3)
Population=4803355 getPopulationofCountry Serbia Zone:2 (turnaround time: 122 ms, execution time: 120 ms, waiting time: 2 ms, processed by Server 2)
Population=4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=15411242 getPopulationofCountry Belgium Zone:5 (turnaround time: 441 ms, execution time: 440 ms, waiting time: 1 ms, processed by Server 1)
Population=4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 391 ms, execution time: 390 ms, waiting time: 1 ms, processed by Server 1)
Population=24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 256 ms, execution time: 255 ms, waiting time: 1 ms, processed by Server 3)
Population=24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 428 ms, execution time: 427 ms, waiting time: 1 ms, processed by Server 3)
Population=4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 676 ms, execution time: 675 ms, waiting time: 1 ms, processed by Server 1)
Population=21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=1070 getPopulationofCountry Tokelau Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=4722032 getPopulationofCountry Guinea Zone:1 (turnaround time: 318 ms, execution time: 317 ms, waiting time: 1 ms, processed by Server 1)
Population=357957 getPopulationofCountry Bahamas Zone:4 (turnaround time: 405 ms, execution time: 404 ms, waiting time: 1 ms, processed by Server 3)
Population=266998322 getPopulationofCountry United States Zone:1 (turnaround time: 122 ms, execution time: 120 ms, waiting time: 2 ms, processed by Server 1)
Population=1565638 getPopulationofCountry Togo Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=4896738 getPopulationofCountry Tunisia Zone:3 (turnaround time: 262 ms, execution time: 261 ms, waiting time: 1 ms, processed by Server 3)
Population=53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 155 ms, execution time: 153 ms, waiting time: 2 ms, processed by Server 1)
Population=53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 188 ms, execution time: 188 ms, waiting time: 0 ms, processed by Server 1)
Population=276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 171 ms, execution time: 170 ms, waiting time: 1 ms, processed by Server 1)
Population=316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 157 ms, execution time: 156 ms, waiting time: 1 ms, processed by Server 1)
Population=134594036 getPopulationofCountry Brazil Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 294 ms, execution time: 293 ms, waiting time: 1 ms, processed by Server 1)
Population=233433 getPopulationofCountry Bhutan Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=16357414 getPopulationofCountry Thailand Zone:1 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 1)
Population=7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 116 ms, execution time: 115 ms, waiting time: 1 ms, processed by Server 2)
Population=7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 153 ms, execution time: 152 ms, waiting time: 1 ms, processed by Server 2)
Population=7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 186 ms, execution time: 185 ms, waiting time: 1 ms, processed by Server 2)
Population=8833274 getPopulationofCountry Greece Zone:2 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 2)
Population=63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 240 ms, execution time: 239 ms, waiting time: 1 ms, processed by Server 3)
Population=7375148 getPopulationofCountry Switzerland Zone:3 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 3)
Population=3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 117 ms, execution time: 116 ms, waiting time: 1 ms, processed by Server 2)
Population=3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=7571439 getPopulationofCountry Kenya Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 257 ms, execution time: 256 ms, waiting time: 1 ms, processed by Server 3)
Population=3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 2)
Population=6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 392 ms, execution time: 391 ms, waiting time: 1 ms, processed by Server 3)
Population=6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=4803355 getPopulationofCountry Serbia Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=736951 getPopulationofCountry Gambia Zone:1 (turnaround time: 138 ms, execution time: 137 ms, waiting time: 1 ms, processed by Server 1)
Population=316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
Population=6340891 getPopulationofCountry Guatemala Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by CLIENT-CACHE)
