Population=1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 209 ms, execution time: 206 ms, waiting time: 3 ms, processed by Server 2)
Population=100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 327 ms, execution time: 311 ms, waiting time: 16 ms, processed by Server 1)
Population=374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 228 ms, execution time: 227 ms, waiting time: 1 ms, processed by Server 2)
Population=184225 getPopulationofCountry Guam Zone:1 (turnaround time: 343 ms, execution time: 342 ms, waiting time: 1 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 249 ms, execution time: 245 ms, waiting time: 4 ms, processed by Server 3)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 133 ms, execution time: 131 ms, waiting time: 2 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 369 ms, execution time: 368 ms, waiting time: 1 ms, processed by Server 3)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 590 ms, execution time: 589 ms, waiting time: 1 ms, processed by Server 3)
Population=63717971 getPopulationofCountry Turkey Zone:5 (turnaround time: 275 ms, execution time: 273 ms, waiting time: 2 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 866 ms, execution time: 865 ms, waiting time: 1 ms, processed by Server 3)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 277 ms, execution time: 275 ms, waiting time: 2 ms, processed by Server 1)
Population=3645095 getPopulationofCountry Uganda Zone:3 (turnaround time: 493 ms, execution time: 492 ms, waiting time: 1 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:2 (turnaround time: 131 ms, execution time: 130 ms, waiting time: 1 ms, processed by Server 2)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 511 ms, execution time: 510 ms, waiting time: 1 ms, processed by Server 1)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 418 ms, execution time: 417 ms, waiting time: 1 ms, processed by Server 1)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 262 ms, execution time: 261 ms, waiting time: 1 ms, processed by Server 3)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 130 ms, execution time: 128 ms, waiting time: 2 ms, processed by Server 2)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 694 ms, execution time: 693 ms, waiting time: 1 ms, processed by Server 1)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 205 ms, execution time: 204 ms, waiting time: 1 ms, processed by Server 2)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 956 ms, execution time: 954 ms, waiting time: 2 ms, processed by Server 1)
