Population=1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 200 ms, execution time: 197 ms, waiting time: 3 ms, processed by Server 2)
Population=100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 318 ms, execution time: 299 ms, waiting time: 19 ms, processed by Server 1)
Population=374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 185 ms, execution time: 184 ms, waiting time: 1 ms, processed by Server 2)
Population=184225 getPopulationofCountry Guam Zone:1 (turnaround time: 333 ms, execution time: 332 ms, waiting time: 1 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 272 ms, execution time: 267 ms, waiting time: 5 ms, processed by Server 3)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 117 ms, execution time: 116 ms, waiting time: 1 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 334 ms, execution time: 332 ms, waiting time: 2 ms, processed by Server 3)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 586 ms, execution time: 585 ms, waiting time: 1 ms, processed by Server 3)
Population=63717971 getPopulationofCountry Turkey Zone:5 (turnaround time: 276 ms, execution time: 275 ms, waiting time: 1 ms, processed by Server 1)
Population=2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 814 ms, execution time: 813 ms, waiting time: 1 ms, processed by Server 3)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 309 ms, execution time: 307 ms, waiting time: 2 ms, processed by Server 1)
Population=3645095 getPopulationofCountry Uganda Zone:3 (turnaround time: 535 ms, execution time: 534 ms, waiting time: 1 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:2 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 2)
Population=31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 429 ms, execution time: 427 ms, waiting time: 2 ms, processed by Server 1)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 269 ms, execution time: 263 ms, waiting time: 6 ms, processed by Server 3)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 427 ms, execution time: 426 ms, waiting time: 1 ms, processed by Server 1)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 144 ms, execution time: 128 ms, waiting time: 16 ms, processed by Server 2)
Population=15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 176 ms, execution time: 170 ms, waiting time: 6 ms, processed by Server 2)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 615 ms, execution time: 614 ms, waiting time: 1 ms, processed by Server 1)
Population=3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 873 ms, execution time: 871 ms, waiting time: 2 ms, processed by Server 1)
Population=7348242 getPopulationofCountry Bolivia Zone:1 (turnaround time: 372 ms, execution time: 371 ms, waiting time: 1 ms, processed by Server 1)
Population=61881622 getPopulationofCountry Philippines Zone:1 (turnaround time: 454 ms, execution time: 452 ms, waiting time: 2 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 246 ms, execution time: 240 ms, waiting time: 6 ms, processed by Server 3)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 205 ms, execution time: 204 ms, waiting time: 1 ms, processed by Server 3)
Population=4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 738 ms, execution time: 736 ms, waiting time: 2 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 481 ms, execution time: 479 ms, waiting time: 2 ms, processed by Server 3)
Population=70068919 getPopulationofCountry United Kingdom Zone:3 (turnaround time: 298 ms, execution time: 297 ms, waiting time: 1 ms, processed by Server 3)
Population=9362428 getPopulationofCountry Sweden Zone:4 (turnaround time: 559 ms, execution time: 558 ms, waiting time: 1 ms, processed by Server 3)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 269 ms, execution time: 267 ms, waiting time: 2 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 865 ms, execution time: 864 ms, waiting time: 1 ms, processed by Server 3)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 243 ms, execution time: 241 ms, waiting time: 2 ms, processed by Server 1)
Population=3328228 getPopulationofCountry Honduras Zone:3 (turnaround time: 219 ms, execution time: 217 ms, waiting time: 2 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:3 (turnaround time: 702 ms, execution time: 700 ms, waiting time: 2 ms, processed by Server 3)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 332 ms, execution time: 331 ms, waiting time: 1 ms, processed by Server 3)
