Timestamp: Tue Sep 16 23:07:05 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:07 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:09 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:11 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:13 CEST 2025, Queue Size: 2
Timestamp: Tue Sep 16 23:07:15 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:17 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:19 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:21 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:23 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:25 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:27 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:29 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:31 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:33 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:35 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:37 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:39 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:41 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:43 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:45 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:47 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:49 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:51 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:53 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:55 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:57 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:07:59 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:01 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:03 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:05 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:07 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:09 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:11 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:13 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:15 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:17 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:19 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:21 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:23 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:25 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:27 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:29 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:31 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:33 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:35 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:37 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:39 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:41 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:43 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:45 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:47 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:49 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:51 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:53 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:55 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:57 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:08:59 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:01 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:03 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:05 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:07 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:09 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:11 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:13 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:15 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:17 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:19 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:21 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:23 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:25 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:27 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:29 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:31 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:33 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:35 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:37 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:39 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:41 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:43 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:45 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:47 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:49 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:51 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:53 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:55 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:57 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:09:59 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:10:01 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:10:03 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:10:05 CEST 2025, Queue Size: 0
Timestamp: Tue Sep 16 23:10:07 CEST 2025, Queue Size: 0
