Geoname ID;Name;Country Code;Country name EN;Population;Timezone;Coordinates
2798301;Fleron;BE;Belgium;15994;Europe/Brussels;50.61516,5.68062
2798438;Fauvillers;BE;Belgium;1952;Europe/Brussels;49.85116,5.66405
2798581;Ettelgem;BE;Belgium;1181;Europe/Brussels;51.17984,3.02919
2798615;Essen;BE;Belgium;10000;Europe/Brussels;51.46791,4.46901
2798680;Erondegem;BE;Belgium;1742;Europe/Brussels;50.94118,3.95611
2798868;Eksaarde;BE;Belgium;6005;Europe/Brussels;51.14876,3.96814
2798949;Eghezee;BE;Belgium;14352;Europe/Brussels;50.59076,4.91175
2799325;Dolembreux;BE;Belgium;1621;Europe/Brussels;50.53763,5.62556
2799347;Dison;BE;Belgium;13642;Europe/Brussels;50.61004,5.8534
2799908;Dadizele;BE;Belgium;3794;Europe/Brussels;50.85138,3.09468
2800461;Chasse Royale;BE;Belgium;0;Europe/Brussels;50.42842,3.95001
2801694;Boezinge;BE;Belgium;2061;Europe/Brussels;50.89672,2.85421
2802312;Bellevaux-Ligneuville;BE;Belgium;1853;Europe/Brussels;50.38948,6.01093
2802731;Bambrugge;BE;Belgium;1797;Europe/Brussels;50.92115,3.92993
2803018;Assesse;BE;Belgium;6279;Europe/Brussels;50.36934,5.02204
2803252;Alveringem;BE;Belgium;4910;Europe/Brussels;51.01238,2.71117
2803343;Adinkerke;BE;Belgium;3142;Europe/Brussels;51.07409,2.59914
2353197;Zorgo;BF;Burkina Faso;23892;Africa/Ouagadougou;12.24922,-0.61527
2360372;Gorom-Gorom;BF;Burkina Faso;6691;Africa/Ouagadougou;14.4429,-0.23468
2361836;Boussouma;BF;Burkina Faso;0;Africa/Ouagadougou;12.91069,-1.0819
725588;Yakimovo;BG;Bulgaria;2665;Europe/Sofia;43.63472,23.3535
726489;Batanovtsi;BG;Bulgaria;2519;Europe/Sofia;42.59692,22.95634
726612;Sarnitsa;BG;Bulgaria;0;Europe/Sofia;41.73835,24.02435
727987;Veliki Preslav;BG;Bulgaria;9425;Europe/Sofia;43.16667,26.81667
728378;Pazardzhik;BG;Bulgaria;75977;Europe/Sofia;42.2,24.33333
729646;Letnitsa;BG;Bulgaria;3528;Europe/Sofia;43.31167,25.07333
730852;Ivanovo;BG;Bulgaria;1031;Europe/Sofia;43.68568,25.95565
730969;Gurkovo;BG;Bulgaria;2889;Europe/Sofia;42.66667,25.8
733359;Belene;BG;Bulgaria;9781;Europe/Sofia;43.64594,25.12627
733434;Bata;BG;Bulgaria;1235;Europe/Sofia;42.73802,27.49643
733660;Anton;BG;Bulgaria;1697;Europe/Sofia;42.75,24.28333
428219;Karuzi;BI;Burundi;10705;Africa/Bujumbura;-3.10139,30.16278
2393917;Guilmaro;BJ;Benin;6516;Africa/Porto-Novo;10.56583,1.72444
2395127;Beterou;BJ;Benin;13108;Africa/Porto-Novo;9.19916,2.25855
2395591;Angara-Debou;BJ;Benin;0;Africa/Porto-Novo;11.32454,3.05886
3901519;Villa Serrano;BO;Bolivia;0;America/La_Paz;-19.12489,-64.32343
3902377;Trinidad;BO;Bolivia;84259;America/La_Paz;-14.83333,-64.9
3919886;Colchani;BO;Bolivia;1074;America/La_Paz;-17.31667,-66.71667
3385922;Tuntum;BR;Brazil;16402;America/Fortaleza;-5.25806,-44.64889
3387928;Senador Jose Porfirio;BR;Brazil;5708;America/Belem;-2.59083,-51.95417
3388454;Sao Jose da Laje;BR;Brazil;12810;America/Maceio;-9.00972,-36.05833
3388714;Sao Goncalo do Amarante;BR;Brazil;23583;America/Fortaleza;-3.60722,-38.96833
3389381;Santana do Matos;BR;Brazil;8050;America/Fortaleza;-5.9575,-36.65556
3389860;Salgueiro;BR;Brazil;42152;America/Recife;-8.07417,-39.11917
3392167;Picos;BR;Brazil;57495;America/Fortaleza;-7.07694,-41.46694
3392345;Pentecoste;BR;Brazil;19680;America/Fortaleza;-3.79278,-39.27028
3392425;Pedro Velho;BR;Brazil;6366;America/Fortaleza;-6.43917,-35.22139
3393001;Parnaiba;BR;Brazil;138008;America/Fortaleza;-2.90472,-41.77667
3394238;Mulungu;BR;Brazil;4181;America/Fortaleza;-7.02444,-35.46194
3397838;Jaboatao;BR;Brazil;702621;America/Recife;-8.18028,-35.00139
3398381;Icatu;BR;Brazil;3648;America/Fortaleza;-2.77583,-44.06583
3398450;Horizonte;BR;Brazil;51171;America/Fortaleza;-4.1,-38.48333
